Qty,Unit,Description,Supplier,Part/Area,Need to Order,Inventory Feb5/25,Where stored?,,
1,,Power transform,,,,x,Stbd top draw forward of bathroom,,
3,,EU plugs,,,,x,Port storage 0,,
4,ft,4 gauge 4 wire electrical cord,,,,x,Port storage 0,,
1,metre,14 awg 3 wire,,,,x,Port storage 0,,
2,,Electric extension cord - 15 ft and 9 ft,,,,x,Port storage ,,
,,Shore power cord - 125/50 amp,,,,x,black bin - port forepeak,,
,,,,,,,,,
Other,,,,,,,,,
19,,AAA batteries,,,,x,Nav Station Stbd Top ,,
6,,AA batteries,,,,x,Nav Station Stbd Top ,,
2,,C batteries,,,,x,Nav Station Stbd Top ,,
1,,Air Horn,,,,x,Upper Helm,,
8,,CR1632,,,,x,Nav Station Stbd Top ,,
1,,CR2032,,,,x,Nav Station Stbd Top ,,
2,,AG13/LR44 for caliper,,,,x,Nav Station Stbd Top ,,
10,,Hatch covers (grey cloth),,,,x,Under Brad's outside seat (in front of galley window),,
6,,Winch covers (grey cloth) - 1 is larger,,,,x,Under Brad's outside seat (in front of galley window),,
2,,Dagger board covers (grey cloth) and straps,,,,x,Under Brad's outside seat (in front of galley window),,
2,,snap covers for helm station,,,,x,Under Brad's outside seat (in front of galley window),,
1,,dingy cover,,,,x,Under Brad's outside seat (in front of galley window),,
2,,"air pumps - 1 from Suzemar dingy, one BOTE",,,,x,Under Brad's outside seat (in front of galley window),,
4,,BOTE manual air pumps (2 for SUP and 2 for chairs in mesh BOTE bag),,,,x,STBD forepeak,,
,,,,,,,,,
,,,,,,,,,
Lines and line-related,,,,,,,,,
2,,Small soft shackles,,,,x,Saloon starboard drawer (below sofa),,
2,,medium soft shackles,,,,x,Saloon starboard drawer (below sofa),,
4,,black supplemental ropes with loop on end,,,,x,2 in black bin in port forepeak; 2 more...we left near stern bench?,,
Multiple,,mousing line (thin white - for decommissioning),,Decommissioning/boatyard,,x,black bin - port forepeak,,
4,,heavy loops to secure corners of boat to cement blocks in boatyard,,Decommissioning/boatyard,,x,black bin - port forepeak,,
2,,black utility lines,,,,x,black bin - port forepeak,,
2,,lines to secure boom in boatyard,,Decommissioning/boatyard,,x,black bin - port forepeak,,
2,,straps for Tiki board - with carabiners on ends,,,,x,black bin - port forepeak,,
,,,,,,,,,
,,,,,,,,,
"As of Nov 13, 2025, what is in STBD forepeak?",,,,,,,,,
4,,BOTE manual air pumps (2 for SUP and 2 for chairs in mesh BOTE bag),,,,x,STBD forepeak,,
1,,"white ""awning"" ",,,,x,STBD forepeak,,
1,,STBD enclosure we're not using (for beside helm),,,,x,STBD forepeak,,
1,,long bag (for enclosures) - grey tarp like material,,,,x,STBD forepeak,,
2,,Mantus diving - 2 large dry bags; regulators (inside one bag); 2 mini tanks; 2 vests for tanks,,,,x,STBD forepeak,,
1,,swim ladder (when not in use),,,,x,STBD forepeak,,
4,,back boards,,,,x,STBD forepeak,,
2,,knee pads,,,,x,STBD forepeak,,
1,,Yeti cooler,,,,x,STBD forepeak,,
2,,shore power cords,,,,x,STBD forepeak,,
2,,shore power extension/adapters,,,,x,STBD forepeak,,
1,,flat grey fender for stern of boat in marinas,,,,x,STBD forepeak,,
,,anchor marker - white triangle,,,,x,STBD forepeak,,
