doc_id,filename,asset_uid,manufacturer,model,storage_path,file_size_mb,uploaded_at,parse_status,parse_started_at,parse_completed_at,chunks_processed,vectors_upserted,chunks_in_db,chunks_in_storage,chunking_strategy,error_message,dip_status,dip_started_at,dip_completed_at,specs_count,golden_count,intent_count,procedures_count,cache_tokens_written,cache_tokens_read,total_input_tokens,total_output_tokens,estimated_cost_usd,dip_error_message
8dacc74c59b6033501bb34d2187e80b1dc02c64d3f3971c388ed97de5a24c6bb,samsung_washer_dryer.pdf,3a49c8f2-44de-4940-9b3c-be32d80e1b5d,Samsung,washer_dryer,manuals/8dacc74c59b6033501bb34d2187e80b1dc02c64d3f3971c388ed97de5a24c6bb/samsung_washer_dryer.pdf,9.81,2025-10-14T23:34:38.410Z,completed,2025-10-15T15:35:54.589Z,2025-10-15T15:36:40.611Z,28,28,28,0,semantic_v2,,,,,,,,,,,,,,
ffe689fada09cf304a842f2fb87fc12be65fd3e5ccbc2650391cbea6a8e4e001,scanstrut_atmos.pdf,53882300-2ffc-4cdb-8f17-62fff5cc2cd1,Scanstrut,atmos,manuals/ffe689fada09cf304a842f2fb87fc12be65fd3e5ccbc2650391cbea6a8e4e001/scanstrut_atmos.pdf,4.93,2025-10-14T23:34:39.739Z,completed,2025-10-15T15:36:42.615Z,2025-10-15T15:37:20.922Z,14,14,14,0,semantic_v2,,,,,,,,,,,,,,
759ac8ff51c98c10358e2c0604c1ca73cf975023949d6e122f9af6e8cb32f061,schenker_zen_150_watermaker_48v.pdf,d0cbc03e-ad33-47c8-84b7-92b41d319727,Schenker,zen_150_watermaker_48v,manuals/759ac8ff51c98c10358e2c0604c1ca73cf975023949d6e122f9af6e8cb32f061/schenker_zen_150_watermaker_48v.pdf,3.11,2025-10-14T23:34:40.757Z,completed,2025-10-15T15:37:22.932Z,2025-10-15T15:38:06.929Z,29,29,29,0,semantic_v2,,,,,,,,,,,,,,
e96efb54516f6889da386a241c0d1fecf57b42249eb299b4b76845f603b5ed59,victron_life_p04_battery_25_6v_200a.pdf,ea03110e-598d-7430-eb5a-0e745cd7f340,Victron,life_p04_battery_25_6v_200a,manuals/e96efb54516f6889da386a241c0d1fecf57b42249eb299b4b76845f603b5ed59/victron_life_p04_battery_25_6v_200a.pdf,6.10,2025-10-14T23:34:42.919Z,completed,2025-10-15T15:38:08.933Z,2025-10-15T15:38:59.265Z,46,46,46,0,semantic_v2,,,,,,,,,,,,,,
3aac00c68d6ba94e360331b3c7b3a6b5f787c508b578a761c946b2237f7521c9,victron_lynx_distributor.pdf,d1101b51-d5e1-4ecb-8822-cb60ad8eb6cf,Victron,lynx_distributor,manuals/3aac00c68d6ba94e360331b3c7b3a6b5f787c508b578a761c946b2237f7521c9/victron_lynx_distributor.pdf,3.64,2025-10-14T23:34:44.270Z,completed,2025-10-15T15:39:01.269Z,2025-10-15T15:39:33.607Z,16,16,16,0,semantic_v2,,,,,,,,,,,,,,
aaa9fb5baa6bed6035f0d37e0ffa31e8c2f1864745e1f2695b87a90b001a13fd,victron_lynx_smart_bms_500.pdf,27ae3e55-fc52-7fb0-439d-7907543fe5b2,Victron,lynx_smart_bms_500,manuals/aaa9fb5baa6bed6035f0d37e0ffa31e8c2f1864745e1f2695b87a90b001a13fd/victron_lynx_smart_bms_500.pdf,6.91,2025-10-14T23:34:45.819Z,completed,2025-10-15T15:39:55.921Z,2025-10-15T15:41:12.040Z,47,47,47,0,semantic_v2,,,,,,,,,,,,,,
bef060b933319201c5b860a2f59894544786d6d5b897a6a58de9b0f3e77086e2,victron_orion_tr_smart_24_12_30a.pdf,b8d26f26-3f0e-3c96-3e28-349e1d1f7060,Victron,orion_tr_smart_24_12_30a,manuals/bef060b933319201c5b860a2f59894544786d6d5b897a6a58de9b0f3e77086e2/victron_orion_tr_smart_24_12_30a.pdf,3.26,2025-10-14T23:34:46.727Z,completed,2025-10-15T15:41:14.046Z,2025-10-15T15:41:57.163Z,26,26,26,0,semantic_v2,,,,,,,,,,,,,,
5ac734a49e2f9b03a8879ddd9507fc4a317b35046d483342105df5cfa95d4443,victron_quattro_48_5000_70_100_100_230v.pdf,67878acc-3376-eac0-f306-c6aea5240d39,Victron,quattro_48_5000_70_100_100_230v,manuals/5ac734a49e2f9b03a8879ddd9507fc4a317b35046d483342105df5cfa95d4443/victron_quattro_48_5000_70_100_100_230v.pdf,3.05,2025-10-14T23:34:47.755Z,completed,2025-10-15T15:42:43.841Z,2025-10-15T15:44:33.525Z,345,345,345,0,semantic_v2,,,,,,,,,,,,,,
b509f1e06cf3234566d22d0b790516031624bd5216a9a18a4d6d9bd9e02dd8cb,victron_smart_solar_mppt.pdf,b3c33da6-405e-4dda-5eee-75fe259df4ef,Victron,smart_solar_mppt,manuals/b509f1e06cf3234566d22d0b790516031624bd5216a9a18a4d6d9bd9e02dd8cb/victron_smart_solar_mppt.pdf,11.62,2025-10-14T23:34:50.548Z,completed,2025-10-15T15:51:56.382Z,2025-10-15T15:52:53.349Z,64,64,64,0,semantic_v2,,,,,,,,,,,,,,
cee610b6a471618f493d6faf81636a7a4233e53211b98dc80d8650f3c3400999,victron_smart_solar_mppt_250_100_tr.pdf,4cd0906c-b5e2-9783-1b39-ffa94a2497d8,Victron,smart_solar_mppt_250_100_tr,manuals/cee610b6a471618f493d6faf81636a7a4233e53211b98dc80d8650f3c3400999/victron_smart_solar_mppt_250_100_tr.pdf,13.22,2025-10-14T23:34:52.784Z,completed,2025-10-15T15:52:55.353Z,2025-10-15T15:53:53.571Z,70,70,70,0,semantic_v2,,,,,,,,,,,,,,
be64dbe51f079007e17caa2cd51681def40c2822f7a1491e6491aa43983f5e0c,victron_smartshunt_500a_50mv.pdf,3b28ed48-8448-39da-553b-72cea85ee6c0,Victron,smartshunt_500a_50mv,manuals/be64dbe51f079007e17caa2cd51681def40c2822f7a1491e6491aa43983f5e0c/victron_smartshunt_500a_50mv.pdf,6.91,2025-10-14T23:34:54.133Z,completed,2025-10-15T15:53:55.575Z,2025-10-15T15:54:40.039Z,42,42,42,0,semantic_v2,,,,,,,,,,,,,,
67df0d0159840f4a5d47ae3b42721cf90c484652f846ad8413e3ba2255db35b1,vitrifrigo_fridge_freezer.pdf,ce903d80-61d9-07dc-8e87-5105d4aa472f,Vitrifrigo,fridge_freezer,manuals/67df0d0159840f4a5d47ae3b42721cf90c484652f846ad8413e3ba2255db35b1/vitrifrigo_fridge_freezer.pdf,1.11,2025-10-14T23:34:54.888Z,completed,2025-10-15T15:54:42.043Z,2025-10-15T15:55:14.880Z,15,15,15,0,semantic_v2,,,,,,,,,,,,,,
a55d6c70e832e1f62c4ccebf0861b9e78e0ab47dd2834ea4cf3bace7f3d4a4bf,yanmar_sail_drive.pdf,4dbf0c41-a3ac-4993-b5d4-b591a6365c72,Yanmar,Sail_drive,manuals/a55d6c70e832e1f62c4ccebf0861b9e78e0ab47dd2834ea4cf3bace7f3d4a4bf/yanmar_sail_drive.pdf,1.66,2025-10-14T23:34:57.858Z,completed,2025-10-15T15:55:16.886Z,2025-10-15T15:56:15.016Z,38,38,38,0,semantic_v2,,,,,,,,,,,,,,
